pincode,status,is_prime,state
176208,Serviceable,false,
176209,Serviceable,false,
176213,Serviceable,false,
176215,Serviceable,false,
176216,Serviceable,false,
176218,Serviceable,false,
176402,Serviceable,false,
176403,Serviceable,false,
177001,Serviceable,false,
177007,Serviceable,false,
177022,Serviceable,false,
177024,Serviceable,false,
177025,Serviceable,false,
177026,Serviceable,false,
177031,Serviceable,false,
177043,Serviceable,false,
177048,Serviceable,false,
177101,Serviceable,false,
177103,Serviceable,false,
177104,Serviceable,false,
177105,Serviceable,false,
177108,Serviceable,false,
177112,Serviceable,false,
177209,Serviceable,false,
177213,Serviceable,false,
177220,Serviceable,false,
180001,Serviceable,false,
180002,Serviceable,false,
180004,Serviceable,false,
180015,Serviceable,false,
180020,Serviceable,false,
181102,Serviceable,false,
182311,Serviceable,false,
190002,Serviceable,false,
200201,Serviceable,false,
201001,Serviceable,false,
201002,Serviceable,false,
201003,Serviceable,false,
201004,Serviceable,false,
201005,Serviceable,false,
201006,Serviceable,false,
201007,Serviceable,false,
201008,Serviceable,false,
201010,Serviceable,false,
201011,Serviceable,false,
201012,Serviceable,false,
201013,Serviceable,false,
201014,Serviceable,false,
201015,Serviceable,false,
201016,Serviceable,false,
201019,Serviceable,false,
201103,Serviceable,false,
201201,Serviceable,false,
201204,Serviceable,false,
201206,Serviceable,false,
201301,Serviceable,false,
201302,Serviceable,false,
201303,Serviceable,false,
201304,Serviceable,false,
201305,Serviceable,false,
201306,Serviceable,false,
201307,Serviceable,false,
201308,Serviceable,false,
201310,Serviceable,false,
201311,Serviceable,false,
201318,Serviceable,false,
202002,Serviceable,false,
202117,Serviceable,false,
202118,Serviceable,false,
202119,Serviceable,false,
202120,Serviceable,false,
202121,Serviceable,false,
202122,Serviceable,false,
202123,Serviceable,false,
202124,Serviceable,false,
202125,Serviceable,false,
202126,Serviceable,false,
202127,Serviceable,false,
202128,Serviceable,false,
202129,Serviceable,false,
202130,Serviceable,false,
202131,Serviceable,false,
202133,Serviceable,false,
202134,Serviceable,false,
202135,Serviceable,false,
202136,Serviceable,false,
202137,Serviceable,false,
202139,Serviceable,false,
202140,Serviceable,false,
